CleanedTweets,Tweets,Time,TimeNew,TimeChanged,PolarityScore
strange relationship infowars alex jones donald trump roger stone,"\"The Strange Relationship of Infowars' Alex Jones, Donald Trump and Roger Stone.....\\n\\nhttps://t.co/KvmctqVBdA\\n\\n#TrumpvsBiden\"","\"2020-11-19 14:34:25.328152\"",2020-11-19T15:42:23.248+05:30,"",Negative
saying look new votes see stop vote count,"\"@RyanAFournier Oh so now you\\u2019re saying it\\u2019s OK to look for new votes. I see, before it was stop the vote count now\\u2026 https://t.co/gqfcjLIgdV\"","\"2020-11-19 14:34:28.330753\"",2020-11-19T15:42:23.248+05:30,"",Negative
came ude uselections trumpterroism trump trumpvsbiden joebiden,"\"And then came @JoeBiden\\ud83d\\ude02\\n\\n#USElections2020 #TrumpTerroism #Trump #TrumpvsBiden #JoeBiden https://t.co/ezAwGgbsAC\"","\"2020-11-19 14:34:31.333113\"",2020-11-19T15:42:23.248+05:30,"",Positive
hack election nread trumpvsbiden recount bidenpresident bidentrump widespread joebiden,"\"How to Hack an Election\\nREAD THIS!\\n#TrumpvsBiden #Recount #BidenPresident #BidenTrump #Widespread #JoeBiden  https://t.co/ChQOUcCf93\"","\"2020-11-19 14:34:34.334761\"",2020-11-19T15:42:23.248+05:30,"",Positive
embroidery files twitrump won election nfichiers broderie ndownload,"\"Embroidery files of Twitrump \\\"I won the election!\\\" \\nFichiers de broderie\\nDownload here : https://t.co/ijHvdsSqwH\\u2026 https://t.co/Tm3hMKomP8\"","\"2020-11-19 14:34:37.335975\"",2020-11-19T15:42:23.248+05:30,"",Positive
play best relaxation musique trumpmeltdown teamg,"\"38:Play with the best Now=Relaxation Musique...https://t.co/yqhzI6gZHx\\n#TrumpvsBiden \\n#TrumpMeltdown \\n#TEAMG1 https://t.co/yr5Lm9kijJ\"","\"2020-11-19 14:34:40.338846\"",2020-11-19T15:42:23.248+05:30,"",Positive
lol joebiden savage usaelections trumpvsbiden,"\"LOL Mr #JoeBiden is savage! #USAElections2020 #TrumpvsBiden https://t.co/5B6UGVrHY7\"","\"2020-11-19 14:34:43.342583\"",2020-11-19T15:42:23.248+05:30,"",Negative
check gig fiverr stencil art capricorn tiktok coronavirus,"\"Check out my Gig on Fiverr: stencil art https://t.co/9dYg70kWNj\\n\\n#Europe #Capricorn #TikTok #coronavirus\\u2026 https://t.co/cJBu3z6tKE\"","\"2020-11-19 14:34:46.345827\"",2020-11-19T15:42:23.248+05:30,"",Positive
guess moved canada udde udde donaldtrump trump trumpvsbiden cdnpoli,"\"I guess he moved to Canada \\ud83c\\udde8\\ud83c\\udde6 #DonaldTrump #Trump2020 #TrumpvsBiden #cdnpoli https://t.co/HWFR8HQ1Xz https://t.co/923QGJKrnr\"","\"2020-11-19 14:34:49.346713\"",2020-11-19T15:42:23.248+05:30,"",Positive
donny advocating electoral reform udd ndid americans vote hillary clinton joe,"\"@realDonaldTrump Is Donny advocating electoral reform? \\ud83e\\udd14\\n\\nDid more Americans vote for Hillary Clinton and for Joe B\\u2026 https://t.co/Dgzl9H4YG7\"","\"2020-11-19 14:34:52.350446\"",2020-11-19T15:42:23.248+05:30,"",Positive
michigan state officials feared fraud scandal rushed ratify election results prematurely,"\"#Michigan state officials feared the #fraud scandal and rushed to ratify the #election #results prematurely, but th\\u2026 https://t.co/8yjpFMfck0\"","\"2020-11-19 14:34:55.353710\"",2020-11-19T15:42:23.248+05:30,"",Negative
many retweet video deserves answer end trump trump trumpmeltdown trumpislosing,"\"How many retweet this video deserves? The answer is at the end...\\n\\n#Trump #Trump2020 #TrumpMeltdown #TrumpIsLosing\\u2026 https://t.co/qCEZBDz9tO\"","\"2020-11-19 14:34:58.989351\"",2020-11-19T15:42:23.248+05:30,"",Positive
recounts thats sesamestreet reference trumpvsbiden presidentialelection politicalnews,"\"More #recounts ... thats not a #sesamestreet reference ... #TrumpvsBiden #PresidentialElection2020 #PoliticalNews\\u2026 https://t.co/HRTh6B3UwJ\"","\"2020-11-19 14:35:01.992367\"",2020-11-19T15:42:23.248+05:30,"",Positive
trumpvsbiden pfizer chief scientist says cthese tests completely useless test fatally flawed,"\"#TrumpVsBiden Ex-Pfizer Chief Scientist says: \\u201cThese tests are completely useless. This test is fatally flawed \\u2026  a\\u2026 https://t.co/iRsZ9UlSLS\"","\"2020-11-19 14:35:04.994736\"",2020-11-19T15:42:23.248+05:30,"",Negative
new video trumpvsbiden,"\"New video is out\\nhttps://t.co/oS9UjSYmg5\\n#USElection2020 \\n#TrumpvsBiden https://t.co/pVl1NyZcAZ\"","\"2020-11-19 14:35:07.998366\"",2020-11-19T15:42:23.248+05:30,"",Positive
uddfa uddf urgent usa biden campaign manager arrested electoral fraud bidenpresident usaelections,"\"\\ud83c\\uddfa\\ud83c\\uddf8#Urgent l USA Biden's campaign manager arrested for electoral fraud.\\n\\n#BidenPresident #USAElections2020\\u2026 https://t.co/5qvQY6RKxc\"","\"2020-11-19 14:35:11.001666\"",2020-11-19T15:42:23.248+05:30,"",Negative
trumpvsbiden looks authentic fits data gohmert electoral map shows trump,"\"#TrumpVsBiden This looks authentic and fits the data: https://t.co/8E6zZZ8TyA Gohmert's electoral map shows Trump a\\u2026 https://t.co/d7YnreRJux\"","\"2020-11-19 14:35:14.003732\"",2020-11-19T15:42:23.248+05:30,"",Positive
trumpvsbiden portuguese appeals court ruled pcr tests unreliable unlawful quarant,"\"#TrumpVsBiden A Portuguese appeals court has ruled that PCR tests are unreliable and that it is unlawful to quarant\\u2026 https://t.co/D6tfKk7o2l\"","\"2020-11-19 14:35:17.006649\"",2020-11-19T15:42:23.248+05:30,"",Positive
trumpvsbiden surprise surprise mouthwash kill covid seconds kinda make wonder anthony ton,"\"#TrumpVsBiden Surprise! Surprise! Mouthwash can kill Covid-19 in 30 seconds. Kinda make you wonder why Anthony \\\"Ton\\u2026 https://t.co/x835fWP8dK\"","\"2020-11-19 14:35:20.010409\"",2020-11-19T15:42:23.248+05:30,"",Negative
uddfa uddf donaldtrump last attempt stay whitehouse ude udd ude udd uselection uselections,"\"\\ud83c\\uddfa\\ud83c\\uddf8#US: #DonaldTrump's last attempt to stay in the #WhiteHouse... \\ud83d\\ude02\\ud83e\\udd23\\ud83d\\ude02\\ud83e\\udd23\\n#USElection2020 #USElections2020\\u2026 https://t.co/3Hyg1V8lOi\"","\"2020-11-19 14:35:23.014348\"",2020-11-19T15:42:23.248+05:30,"",Positive
true greatness shows defeat trumpout trumpvsbiden,"\"true greatness shows in defeat! #TrumpOut #TrumpvsBiden\"","\"2020-11-19 14:35:26.018027\"",2020-11-19T15:42:23.248+05:30,"",Negative
upfront money trumpvsbidenfight upfrontmoney trumpcollapse trumpisbroke trumpmeltdown,"\"I have no upfront money. #TrumpVsBidenFight #upfrontmoney #TrumpCollapse #trumpisbroke #TrumpMeltdown\\u2026 https://t.co/cfjrJXSc9P\"","\"2020-11-19 14:35:29.021947\"",2020-11-19T15:42:23.248+05:30,"",Positive
sure fraud issue extremely similar one trumpvsbiden elections,"\"Sure it's not a fraud issue but it is extremely similar to one\\n#TrumpvsBiden #Elections2020 https://t.co/E02eudcVPx https://t.co/4VpUruutix\"","\"2020-11-19 14:35:32.025631\"",2020-11-19T15:42:23.248+05:30,"",Negative
republicans proudly parading flat earth bona fides trumpvsbiden,"\"Republicans proudly parading their Flat Earth bona fides. #TrumpvsBiden https://t.co/y3wbfmlQaW\"","\"2020-11-19 14:35:35.026758\"",2020-11-19T15:42:23.248+05:30,"",Positive
half republicans say biden won rigged election riggedelection trumpvsbiden,"\"Over half of all Republicans say Biden won because of a 'rigged' election #RiggedElection #TrumpVsBiden -\\u2026 https://t.co/rXjBo8kBbd\"","\"2020-11-19 14:35:38.030648\"",2020-11-19T15:42:23.248+05:30,"",Positive
true trumpvsbiden,"\"Not true! #TrumpvsBiden https://t.co/oDWaYMXDEi\"","\"2020-11-19 14:35:41.034462\"",2020-11-19T15:42:23.248+05:30,"",Positive
trumpvsbiden door looking leave nothing joe scorched earth policy trump maybe legacy,"\"#TrumpvsBiden he is out the door but  will be looking to leave nothing for Joe. scorched earth policy by trump,maybe his legacy........\"","\"2020-11-19 14:35:44.666879\"",2020-11-19T15:42:23.248+05:30,"",Negative
stuff nightmares trumpvsbiden,"\"The stuff of nightmares...\\n#TrumpvsBiden\\n\\nhttps://t.co/Ioh1a0bCXd\"","\"2020-11-19 14:35:47.670586\"",2020-11-19T15:42:23.248+05:30,"",Positive
get art printed awesome products support redbubble rbandme findyourthing,"\"Get my art printed on awesome products. Support me at Redbubble #RBandME:  https://t.co/pOrQ4YnDIG #findyourthing\\u2026 https://t.co/mgyYaXoS7K\"","\"2020-11-19 14:35:50.674002\"",2020-11-19T15:42:23.248+05:30,"",Positive
chris kerbs given medal sack uselections trumpvsbiden free speech something fight,"\"Chris Kerbs. Should be given a medal not the sack.#USElections2020 #TrumpvsBiden free speech is something we should fight for.\"","\"2020-11-19 14:35:53.677970\"",2020-11-19T15:42:23.248+05:30,"",Positive
donald trump general blames lieutenants losing battle trumpvsbiden trumpislosing,"\"Donald Trump is a general who blames his lieutenants for losing the battle. #TrumpvsBiden #TrumpIsLosing\\u2026 https://t.co/MtcPJaAdDD\"","\"2020-11-19 14:35:56.681832\"",2020-11-19T15:42:23.248+05:30,"",Negative
constantly consistently spew false information still account suspende,"\"How can @realDonaldTrump constantly and consistently spew false information and still not have his account suspende\\u2026 https://t.co/VkuJ7Oj8P3\"","\"2020-11-19 14:35:59.682628\"",2020-11-19T15:42:23.248+05:30,"",Positive
every error favor biden shouldn americans demand investigation across usaelections resul,"\"Why is every error in favor of #Biden? Shouldn't all #Americans demand investigation across #USAElections2020 resul\\u2026 https://t.co/ibg2DDWJDg\"","\"2020-11-19 14:36:02.683215\"",2020-11-19T15:42:23.248+05:30,"",Negative
believe trumpvsbiden epic rematch better get back vote happen,"\"@oldmanebro I believe #TrumpvsBiden will be an epic rematch in 2024 we better get back out there and vote again bc it can happen\"","\"2020-11-19 14:36:05.686560\"",2020-11-19T15:42:23.248+05:30,"",Positive
call bug error problem happened randomly affect somebody part system call,"\"We call it bug or error when some problem happened and randomly affect somebody / part of the system. We call it ch\\u2026 https://t.co/7LZhTMA1zd\"","\"2020-11-19 14:36:08.689994\"",2020-11-19T15:42:23.248+05:30,"",Negative
slowly working way beneficial literally,"\"@enes69 @realDonaldTrump Because he is slowly working on a way for it to be more beneficial. He is/was literally ma\\u2026 https://t.co/LDyKHBp0Zn\"","\"2020-11-19 14:36:11.691007\"",2020-11-19T15:42:23.248+05:30,"",Positive
job loyalty liarinchief killing americans presidentelect sign,"\"@GSAEmily do your job! Your loyalty to the #LiarInChief is killing Americans! @JoeBiden is #PresidentElect sign off\\u2026 https://t.co/l0dC1cEeHr\"","\"2020-11-19 14:36:14.694660\"",2020-11-19T15:42:23.248+05:30,"",Negative
hey great article daughter like thought must make,"\"Hey @realDonaldTrump great article about your daughter. She is more like you than I thought. It must make you so pr\\u2026 https://t.co/rzj9dcwg9W\"","\"2020-11-19 14:36:17.698286\"",2020-11-19T15:42:23.248+05:30,"",Positive
great coalition twilight zone happy want ude ude ude trumpvsbiden,"\"The great coalition in the Twilight Zone: The who is not happy is because he does not want...\\ud83d\\ude01\\ud83d\\ude02\\ud83d\\ude01 #TrumpvsBiden\\u2026 https://t.co/KvpXfFlEpM\"","\"2020-11-19 14:36:20.702271\"",2020-11-19T15:42:23.248+05:30,"",Positive
really understand appreciate democracy biden won trump lost think getting,"\"Y\\u2019all really don\\u2019t understand or appreciate your democracy. Biden won. Trump lost, and if you think it\\u2019s getting ov\\u2026 https://t.co/LuRtAB4GZx\"","\"2020-11-19 14:36:23.706023\"",2020-11-19T15:42:23.248+05:30,"",Positive
claims disputed nshop stands india trusted reselling app shop thisclaimisundisputed,"\"All claims are not disputed! \\nShop101 stands as India's #1 trusted reselling App. \\n#shop101 #thisclaimisundisputed\\u2026 https://t.co/Rjt9eOofLo\"","\"2020-11-19 14:36:26.709979\"",2020-11-19T15:42:23.248+05:30,"",Positive
bapu today spoke trump biden fight crazy divide america,"\"@realDonaldTrump If Bapu were today,\\n  He spoke with Trump and Biden-\\n \\\"Don't fight crazy ...\\n  Divide America in h\\u2026 https://t.co/kM2bA50nCo\"","\"2020-11-19 14:36:30.284268\"",2020-11-19T15:42:23.248+05:30,"",Negative
ukraine wants biden class felony charges trump tosaveamerica trumpvsbiden,"\"Ukraine wants #Biden on Class A Felony charges.@donlemon\\n#TRUMP2020ToSaveAmerica #TrumpvsBiden https://t.co/z4yTU5sHNu\"","\"2020-11-19 14:36:33.286757\"",2020-11-19T15:42:23.248+05:30,"",Negative
petition circulating harvard stop former trump administration officials attending teaching speaking,"\"Petition circulating at Harvard to stop former Trump administration officials from attending, teaching or speaking\\u2026 https://t.co/xZsyWRtwFc\"","\"2020-11-19 14:36:36.290440\"",2020-11-19T15:42:23.248+05:30,"",Negative
check gig fiverr stencil art capricorn tiktok coronavirus,"\"Check out my Gig on Fiverr: stencil art https://t.co/9dYg70kWNj\\n\\n#Europe #Capricorn #TikTok #coronavirus\\u2026 https://t.co/FzVnX8Y7Y3\"","\"2020-11-19 14:36:39.293763\"",2020-11-19T15:42:23.248+05:30,"",Positive
shirts masks hoodies mugs tank tops pillows wall tapestries posters nlets fuel revolution,"\"T-Shirts, Masks, Hoodies, Mugs, Tank Tops, Pillows, Wall Tapestries, Posters, and more!\\nLETS FUEL THE REVOLUTION\\u2026 https://t.co/rSyGJPe1Og\"","\"2020-11-19 14:36:42.295730\"",2020-11-19T15:42:23.248+05:30,"",Positive
trump campaign challenge fails pennsylvania supreme court trumpvsbiden,"\"Trump Campaign Challenge Fails in Pennsylvania Supreme Court \\nhttps://t.co/EEZ0rzwK8V\\n\\n#Pennsylvania #TrumpvsBiden\\u2026 https://t.co/9zSTS2bZZI\"","\"2020-11-19 14:36:45.298671\"",2020-11-19T15:42:23.248+05:30,"",Positive
dry fruits include everyday diet stay healthy norder,"\"Dry fruits be should include in your everyday diet to stay healthy!\\n\\nOrder yours now:  https://t.co/uVreUztSp0\\n\\nor\\u2026 https://t.co/hc2sfeNzk4\"","\"2020-11-19 14:36:48.302434\"",2020-11-19T15:42:23.248+05:30,"",Positive
donaldtrump trumpvsbiden trumpconcede trump tries distract electoral,"\"@realDonaldTrump #DonaldTrump #TrumpvsBiden #TrumpConcede \\nD. Trump tries to distract us with all this electoral BS\\u2026 https://t.co/3Xv9KwYj5C\"","\"2020-11-19 14:36:51.304905\"",2020-11-19T15:42:23.248+05:30,"",Negative
third georgia county finds memory card uncounted votes trump none accident two careless three,"\"Third Georgia County Finds Memory Card With Uncounted Votes, Most for Trump\\nOne is accident, two is careless, three\\u2026 https://t.co/a8FEfaS9Vd\"","\"2020-11-19 14:36:54.306596\"",2020-11-19T15:42:23.248+05:30,"",Positive
true uselections uselection uselectionresults concedetrump trumpvsbidenfight,"\"This could just be true! \\n#USElections2020 #USElection2020 #USElectionResults #ConcedeTrump #TrumpVsBidenFight\\u2026 https://t.co/Y3h6DoRDt8\"","\"2020-11-19 14:36:57.310239\"",2020-11-19T15:42:23.248+05:30,"",Positive
sach information bhi undisputed ude ude trending claim givmor wafers ancorafoods undisputedclaim trump,"\"Sach information vo bhi undisputed \\ud83d\\ude1d\\ud83d\\ude1d\\n\\n#trending #claim #givmor #wafers #ancorafoods #undisputedclaim #trump\\u2026 https://t.co/akK4YSmEbC\"","\"2020-11-19 14:37:00.312622\"",2020-11-19T15:42:23.248+05:30,"",Positive
highly likely president elect joe biden democrat reflect similar policy orientations,"\"It is highly likely that President-elect Joe Biden, again a #democrat, will reflect similar #policy orientations as\\u2026 https://t.co/mlRE6Coko5\"","\"2020-11-19 14:37:03.314730\"",2020-11-19T15:42:23.248+05:30,"",Positive
see socialism venezuela makes hungry people stand line receive food donations excuse,"\"See how socialism in Venezuela makes hungry people stand in line to receive food donations! Oh excuse me, is this i\\u2026 https://t.co/rz6oXu9CKl\"","\"2020-11-19 14:37:06.316426\"",2020-11-19T15:42:23.248+05:30,"",Positive
absolutely fabulous election lego trumpvsbiden giuliani fourseasonstotallandscaping press media,"\"Absolutely fabulous! #Election2020 #lego #TrumpvsBiden #giuliani #fourseasonstotallandscaping #press #media\\nhttps://t.co/o22wJfUyHP\"","\"2020-11-19 14:37:09.318762\"",2020-11-19T15:42:23.248+05:30,"",Positive
trump let beloved chair trump trumpvsbiden trumpmeltdown trumpout,"\"Trump can't let go of his beloved chair.\\n#Trump #TrumpvsBiden #TrumpMeltdown #TrumpOut\"","\"2020-11-19 14:37:12.320542\"",2020-11-19T15:42:23.248+05:30,"",Positive
america restore rule law without prosecuting trump usa law ruleoflaw,"\"Can America Restore the Rule of Law Without Prosecuting Trump? https://t.co/CSQDVrJBRK #US #USA #law #RuleOfLaw\\u2026 https://t.co/SvMKoNGiTk\"","\"2020-11-19 14:37:15.926912\"",2020-11-19T15:42:23.248+05:30,"",Positive
understand taiwanese law school students preparing bar exam know strict scruti,"\"From what I understand, most Taiwanese law school students preparing for TW bar exam would know what \\\"strict scruti\\u2026 https://t.co/uAEZvvjrpl\"","\"2020-11-19 14:37:18.930409\"",2020-11-19T15:42:23.248+05:30,"",Positive
inviting influencers keen work brands develop content share audiences,"\"I'm inviting influencers keen to work with brands to develop content and share with their audiences:\\u2026 https://t.co/AJH0ziKJDc\"","\"2020-11-19 14:37:21.934141\"",2020-11-19T15:42:23.248+05:30,"",Positive
truth seems like inconvenience donald seems trumpconcede trumpvsbiden truthmatters,"\"The truth just seems like an inconvenience to ol Donald it seems.\\n#TrumpConcede #TrumpvsBiden #TruthMatters\"","\"2020-11-19 14:37:24.937617\"",2020-11-19T15:42:23.248+05:30,"",Positive
